Version,Ambassador commit,Envoy image
0.1.3,v0.1.3,lyft/envoy:latest
0.1.4,v0.1.4,lyft/envoy:latest
0.1.5,v0.1.5,lyft/envoy:latest
0.1.6,v0.1.6,lyft/envoy:latest
0.1.7,v0.1.7,lyft/envoy:4ef8079e9ff3056bab5fe9485e7fd2bc69d27dc5
0.1.8,v0.1.8,lyft/envoy:4ef8079e9ff3056bab5fe9485e7fd2bc69d27dc5
0.1.9,v0.1.9,lyft/envoy:4ef8079e9ff3056bab5fe9485e7fd2bc69d27dc5
0.2.0,v0.2.0,lyft/envoy:4ef8079e9ff3056bab5fe9485e7fd2bc69d27dc5
0.3.0,v0.3.0,lyft/envoy:4ef8079e9ff3056bab5fe9485e7fd2bc69d27dc5
0.3.1,v0.3.1,dwflynn/envoy-debug:latest
0.3.2,v0.3.2,dwflynn/envoy-debug:latest
0.3.3,v0.3.3,dwflynn/envoy-debug:latest
0.4.0,v0.4.0,dwflynn/envoy-debug:latest
0.5.0,v0.5.0,dwflynn/envoy-debug:latest
0.5.2,v0.5.2,dwflynn/envoy-debug:latest
0.6.0,v0.6.0,dwflynn/envoy-debug:latest
0.7.0,v0.7.0,dwflynn/envoy-debug:latest
0.8.0,v0.8.0,dwflynn/envoy-debug:latest
0.8.1,v0.8.1,dwflynn/envoy-debug:latest
0.8.2,v0.8.2,dwflynn/envoy-debug:latest
0.8.3,v0.8.3,dwflynn/envoy-debug:latest
0.8.4,v0.8.4,dwflynn/envoy-debug:latest
0.8.5,v0.8.5,dwflynn/envoy-debug:latest
0.8.6,v0.8.6,dwflynn/envoy-debug:latest
0.8.7,v0.8.7,dwflynn/envoy-debug:latest
0.8.8,v0.8.8,dwflynn/envoy-debug:latest
0.8.9,v0.8.9,dwflynn/envoy-debug:latest
0.8.10,v0.8.10,dwflynn/envoy-debug:latest
0.8.11,v0.8.11,dwflynn/envoy-debug:latest
0.8.12,v0.8.12,dwflynn/envoy-debug:latest
,1a442c5,dwflynn/envoy-with-extauth:0.0.2
,a223a8f,datawire/ambassador-envoy:368a4517
0.9.0,v0.9.0,datawire/ambassador-envoy:latest
0.9.1,v0.9.1,datawire/ambassador-envoy:latest
0.10.0,v0.10.0,datawire/ambassador-envoy:latest
0.10.1,v0.10.1,datawire/ambassador-envoy:latest
0.10.2,v0.10.2,datawire/ambassador-envoy:latest
0.10.3,v0.10.3,datawire/ambassador-envoy:latest
0.10.4,v0.10.4,datawire/ambassador-envoy:latest
0.10.5,v0.10.5,datawire/ambassador-envoy:latest
0.10.6,v0.10.6,datawire/ambassador-envoy:latest
0.10.7,v0.10.7,datawire/ambassador-envoy:latest
0.10.8,v0.10.8,datawire/ambassador-envoy:latest
0.10.9,v0.10.9,datawire/ambassador-envoy:latest
0.10.10,v0.10.10,datawire/ambassador-envoy:latest
0.10.11,v0.10.11,datawire/ambassador-envoy:latest
0.10.12,v0.10.12,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.10.13,v0.10.13,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.10.14,v0.10.14,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.11.0,v0.11.0,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.11.1,v0.11.1,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.11.2,v0.11.2,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.12.0,v0.12.0,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.12.1,v0.12.1,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.13.0,v0.13.0,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.13.1,v0.13.1,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.13.2,v0.13.2,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.13.3,v0.13.3,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.13.4,v0.13.4,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.13.5,v0.13.5,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.13.6,v0.13.6,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.14.0,v0.14.0,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.14.1,v0.14.1,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.14.2,v0.14.2,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.15.0,v0.15.0,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.15.1,v0.15.1,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.15.2,v0.15.2,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.15.3,v0.15.3,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.16.0,v0.16.0,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.16.1,v0.16.1,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.16.2,v0.16.2,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.16.3,v0.16.3,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.17.0,v0.17.0,dwflynn/ambassador-envoy:v1.4.0-49-g008635a04
0.18.0,v0.18.0,datawire/ambassador-envoy:vtest_docs_tag3-60-gb2629d084
0.18.1,v0.18.1,datawire/ambassador-envoy:vtest_docs_tag3-60-gb2629d084
0.18.2,v0.18.2,datawire/ambassador-envoy:vtest_docs_tag3-60-gb2629d084
0.19.0,v0.19.0,datawire/ambassador-envoy:vtest_docs_tag3-60-gb2629d084
0.19.1,v0.19.1,datawire/ambassador-envoy:vtest_docs_tag3-60-gb2629d084
0.19.2,v0.19.2,datawire/ambassador-envoy:vtest_docs_tag3-60-gb2629d084
0.19.3,v0.19.3,datawire/ambassador-envoy:vtest_docs_tag3-60-gb2629d084
0.20.0,v0.20.0,datawire/ambassador-envoy:v1.5.0-47-g6b197c85c
0.20.1,v0.20.1,datawire/ambassador-envoy:v1.5.0-47-g6b197c85c
0.21.0,v0.21.0,datawire/ambassador-envoy:v1.5.0-47-g6b197c85c
0.21.1,v0.21.1,datawire/ambassador-envoy:v1.5.0-47-g6b197c85c
0.21.2,v0.21.2,datawire/ambassador-envoy:v1.5.0-47-g6b197c85c
,7fc4178,datawire/ambassador-envoy-alpine:ambassador-envoy-v1.5.0-47-g6b197c85c-68-g3e4bfeb1d
0.22.0,v0.22.0,datawire/ambassador-envoy-alpine:v1.5.0-116-g7ccb25882
0.22.1,v0.22.1,datawire/ambassador-envoy-alpine:v1.5.0-116-g7ccb25882
,eac03c8,quay.io/datawire/ambassador-envoy-alpine-stripped:v1.5.0-231-g27a506c85
0.22.2,v0.22.2,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.23.0,v0.23.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.23.1,v0.23.1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.24.0,v0.24.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.25.0,v0.25.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.26.0,v0.26.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.26.1,v0.26.1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.27.0,v0.27.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.28.0,v0.28.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.28.1,v0.28.1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.28.2,v0.28.2,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.29.0,v0.29.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.29.1,v0.29.1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.30.0,v0.30.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.30.1,v0.30.1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.30.2,v0.30.2,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.31.0,v0.31.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.32.0,v0.32.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.32.1,v0.32.1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.32.2,v0.32.2,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc0,0.33.0-rc0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc1,0.33.0-rc1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc2,0.33.0-rc2,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc3,0.33.0-rc3,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc4,0.33.0-rc4,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc5,0.33.0-rc5,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc6,0.33.0-rc6,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc7,0.33.0-rc7,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc8,0.33.0-rc8,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc9,0.33.0-rc9,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0-rc10,0.33.0-rc10,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.0,0.33.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.1-rc0,0.33.1-rc0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.33.1,0.33.1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.0-rc0,0.34.0-rc0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.0-rc1,0.34.0-rc1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.0-rc2,0.34.0-rc2,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.0,0.34.0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.1-rc0,0.34.1-rc0,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.1-rc1,0.34.1-rc1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.1-rc2,0.34.1-rc2,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.1-rc3,0.34.1-rc3,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.1-rc4,0.34.1-rc4,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.1,0.34.1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.2-rc0,0.34.2-rc0,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.2-rc1,0.34.2-rc1,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.2-rc2,0.34.2-rc2,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.2-rc3,0.34.2-rc3,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.2-rc4,0.34.2-rc4,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.2-rc5,0.34.2-rc5,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.2,0.34.2,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.3-rc1,0.34.3-rc1,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.3,0.34.3,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.4-rc1,0.34.4-rc1,datawire/ambassador-envoy-alpine-stripped:v1.5.0-232-g6557e9ea7
0.34.4-rc2,0.34.4-rc0,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.4-rc3,0.34.4-rc3,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.4-rc4,0.34.4-rc4,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.4-rc5,0.34.4-rc5,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.4-rc6,0.34.0-rc6,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.34.4-rc7,0.34.0-rc7,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.0-rc0,0.35.0-rc0,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.0-rc1,0.35.0-rc1,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.0-rc-ignore,0.35.0-rc-ignore,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.0-rc2,0.35.0-rc2,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.0-rc3,0.35.0-rc3,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.0-rc4,0.35.0-rc4,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.0-rc5,0.35.0-rc5,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.0,0.35.0,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.1-rc0,0.35.1-rc0,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.1-rc2,0.35.1-rc2,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.1-rc3,0.35.1-rc3,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.1-rc4,0.35.1-rc4,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
0.35.1,0.35.1,datawire/ambassador-envoy-alpine-stripped:v1.6.0-446-g100a92e2
